Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
9305,Compound/Complex,Narrative,50,810,-810,4890.19,-4890.19
9306,Compound/Complex,Narrative,38,689,689,3944.02,-3944.02
9307,Compound/Complex,Narrative,35,650,-650,3971.67,3971.67
9308,Complex,Narrative,17,368,-368,2383.32,2383.32
9309,Compound/Complex,Narrative,97,1834,-1834,11369.72,11369.72
9311,Compound/Complex,Narrative,32,597,597,3504.39,-3504.39
9312,Compound/Complex,Narrative,22,474,-474,3186.36,-3186.36
9313,Simple,Narrative,13,259,259,1469.59,1469.59
9316,Simple,Narrative,1,10,-10,17.92,17.92
9319,Simple,Narrative,6,112,-112,662.30,-662.30
9321,Simple,Narrative,4,86,-86,482.67,-482.67
9323,Compound/Complex,Narrative,71,1190,-1190,7331.58,7331.58
9324,Compound/Complex,Narrative,49,921,921,5921.43,5921.43
9325,Compound/Complex,Narrative,53,973,973,6143.24,6143.24
9327,Compound/Complex,Narrative,30,523,523,3145.30,3145.30
9328,Compound/Complex,Narrative,37,640,-640,3893.25,3893.25
9329,Compound/Complex,Narrative,47,929,929,5660.05,-5660.05
9330,Simple,Narrative,6,79,79,516.82,-516.82
9331,Complex,Narrative,23,380,-380,2381.99,2381.99
9332,Compound/Complex,Narrative,22,452,-452,2599.01,2599.01
9333,Simple,Narrative,11,130,-130,679.87,679.87
9336,Simple,Narrative,2,31,31,202.58,-202.58
9337,Compound/Complex,Narrative,77,1431,1431,8757.40,8757.40
9338,Complex,Narrative,20,404,-404,2597.75,2597.75
9339,Compound/Complex,Narrative,24,474,-474,2805.90,2805.90
9340,Compound/Complex,Narrative,29,517,517,2991.13,2991.13
9341,Compound/Complex,Narrative,55,1100,-1100,6676.51,-6676.51
9342,Complex,Narrative,17,291,291,1712.49,-1712.49
9343,Complex,Narrative,22,367,367,2296.66,-2296.66
9344,Compound/Complex,Narrative,36,571,571,3372.73,-3372.73
9345,Complex,Narrative,17,319,319,1833.96,1833.96
9346,Compound/Complex,Narrative,27,576,-576,3750.43,-3750.43
9347,Compound/Complex,Narrative,21,423,423,2559.88,2559.88
9348,Compound/Complex,Narrative,23,346,-346,1883.97,1883.97
9349,Complex,Narrative,29,461,461,2669.79,2669.79
9350,Complex,Narrative,20,410,-410,2651.31,2651.31
9351,Compound/Complex,Narrative,58,1265,1265,7895.18,7895.18
9352,Compound/Complex,Narrative,76,1399,1399,8007.72,8007.72
9353,Compound/Complex,Narrative,86,1568,-1568,9507.01,9507.01
9354,Compound/Complex,Narrative,27,636,-636,4077.86,4077.86
9355,Compound/Complex,Narrative,18,360,-360,2093.19,2093.19
9356,Simple,Narrative,2,63,63,435.25,435.25
9357,Simple,Narrative,4,86,-86,482.67,-482.67
9358,Compound/Complex,Narrative,29,478,-478,2977.15,2977.15
9359,Complex,Conversation,44,833,833,5244.81,-5244.81
9360,Compound/Complex,Conversation,46,867,867,5219.94,5219.94
9361,Complex,Conversation,20,437,437,2796.16,-2796.16
9362,Compound/Complex,Narrative,47,988,-988,6059.50,6059.50
9363,Compound/Complex,Conversation,69,1570,-1570,9743.66,9743.66
9364,Compound/Complex,Conversation,21,388,-388,2451.59,2451.59
9365,Complex,Conversation,9,232,-232,1580.74,-1580.74
9366,Compound/Complex,Conversation,57,1170,-1170,7421.99,7421.99
9367,Compound/Complex,Narrative,32,544,-544,3259.44,3259.44
9368,Compound/Complex,Conversation,67,1460,-1460,8998.02,-8998.02
9369,Simple,Narrative,3,52,-52,359.26,359.26
9370,Complex,Narrative,7,92,-92,613.52,613.52
9371,Compound/Complex,Narrative,50,883,883,5347.15,5347.15
9372,Simple,Narrative,4,53,53,314.99,-314.99
9373,Complex,Conversation,14,231,231,1402.65,-1402.65
9374,Compound/Complex,Narrative,42,834,-834,5193.79,5193.79
9375,Simple,Narrative,2,31,31,163.00,163.00
9376,Complex,Narrative,14,250,-250,1472.51,-1472.51
9377,Complex,Narrative,22,368,-368,2424.34,-2424.34
9378,Simple,Narrative,7,149,149,946.87,-946.87
9379,Compound/Complex,Narrative,17,419,419,2621.51,2621.51
9380,Compound/Complex,Narrative,40,775,775,4881.51,4881.51
9381,Compound/Complex,Narrative,17,328,-328,2132.10,-2132.10
9382,Complex,Narrative,17,251,251,1466.52,-1466.52
9383,Simple,Narrative,3,29,29,178.23,-178.23
9384,Complex,Conversation,8,149,149,931.28,931.28
9385,Complex,Conversation,16,315,315,1976.78,-1976.78
9386,Compound/Complex,Conversation,45,886,-886,5406.83,-5406.83
9387,Simple,Conversation,1,18,-18,124.36,-124.36
9388,Simple,Narrative,4,66,-66,404.81,-404.81
9389,Compound/Complex,Narrative,13,204,-204,1330.80,-1330.80
9390,Compound/Complex,Conversation,12,274,-274,1798.52,-1798.52
9391,Compound/Complex,Narrative,19,326,-326,2082.08,-2082.08
9392,Simple,Narrative,6,101,101,586.30,-586.30
9393,Compound/Complex,Narrative,14,264,-264,1572.87,-1572.87
9394,Complex,Narrative,26,443,443,2504.09,-2504.09
9395,Compound/Complex,Narrative,20,212,-212,1164.92,-1164.92
9396,Complex,Narrative,13,181,181,1040.72,-1040.72
9397,Compound/Complex,Conversation,117,2209,2209,13729.07,13729.07
9398,Complex,Narrative,8,172,-172,1122.04,-1122.04
9399,Complex,Narrative,4,80,-80,530.58,-530.58
9400,Simple,Narrative,5,110,-110,722.67,-722.67
9401,Complex,Narrative,9,138,-138,806.71,-806.71
9402,Complex,Narrative,22,417,417,2602.82,-2602.82
9403,Complex,Narrative,21,485,485,3021.86,3021.86
9404,Compound/Complex,Narrative,36,912,-912,5704.31,-5704.31
9405,Compound/Complex,Narrative,43,998,-998,6508.38,-6508.38
9406,Complex,Narrative,25,491,491,2991.50,2991.50
9407,Compound/Complex,Narrative,47,1109,1109,7049.77,7049.77
9408,Complex,Narrative,43,878,-878,5608.38,-5608.38
9409,Compound/Complex,Narrative,86,1617,1617,10157.15,10157.15
9410,Compound/Complex,Narrative,14,372,-372,2473.38,2473.38
9411,Compound/Complex,Narrative,35,720,-720,4498.85,-4498.85
9412,Complex,Narrative,27,583,583,3642.25,-3642.25
9413,Compound/Complex,Narrative,34,564,-564,3299.44,3299.44
9414,Simple,Conversation,5,53,53,292.87,-292.87
9415,Compound/Complex,Conversation,62,1214,-1214,7717.54,7717.54
9416,Compound/Complex,Narrative,41,790,-790,4794.70,-4794.70
9417,Complex,Narrative,30,510,-510,3135.87,3135.87
9418,Complex,Narrative,43,963,963,6402.07,-6402.07
9419,Compound/Complex,Narrative,28,519,519,3197.84,3197.84
9420,Complex,Narrative,25,393,393,2126.46,-2126.46
9421,Compound/Complex,Narrative,29,664,-664,4212.30,-4212.30
9422,Compound/Complex,Narrative,29,704,-704,4317.29,4317.29
9423,Compound/Complex,Narrative,12,220,-220,1445.34,1445.34
9424,Compound/Complex,Conversation,27,563,563,3442.20,-3442.20
9425,Compound/Complex,Narrative,15,271,271,1667.68,1667.68
9426,Compound/Complex,Narrative,17,404,-404,2552.29,-2552.29
9427,Compound/Complex,Narrative,56,1124,-1124,7085.63,7085.63
9428,Simple,Conversation,36,807,807,5125.44,5125.44
9429,Compound/Complex,Narrative,21,383,383,2375.47,2375.47
9430,Simple,Narrative,20,451,451,2900.12,-2900.12
9431,Compound/Complex,Narrative,46,801,801,4720.37,-4720.37
9432,Complex,Narrative,18,371,371,2291.33,2291.33
9433,Compound/Complex,Conversation,30,582,-582,3668.53,-3668.53
9434,Compound/Complex,Conversation,37,735,735,4385.71,4385.71
9435,Compound/Complex,Conversation,103,2338,-2338,14899.23,14899.23
9436,Compound/Complex,Narrative,30,699,699,4534.42,-4534.42
9437,Compound/Complex,Narrative,51,962,-962,5863.96,5863.96
9438,Compound/Complex,Conversation,98,1785,1785,10751.80,10751.80
9439,Simple,Narrative,21,352,-352,1891.53,1891.53
9440,Complex,Narrative,15,270,-270,1561.80,1561.80
9441,Complex,Narrative,11,159,159,909.58,909.58
9442,Simple,Narrative,3,31,31,196.13,-196.13
9443,Compound/Complex,Narrative,31,532,-532,3104.34,-3104.34
9444,Complex,Narrative,9,114,-114,676.92,-676.92
9445,Complex,Narrative,10,81,81,505.48,505.48
9446,Complex,Narrative,18,295,295,1664.58,-1664.58
9447,Simple,Narrative,6,73,73,402.18,-402.18
9448,Complex,Narrative,8,122,-122,802.73,-802.73
9449,Compound/Complex,Narrative,16,284,-284,1770.06,-1770.06
9450,Complex,Narrative,24,435,435,2583.53,2583.53
9451,Compound/Complex,Narrative,16,325,325,2013.53,2013.53
9452,Compound/Complex,Conversation,24,499,499,3055.75,3055.75
9453,Compound/Complex,Conversation,37,628,-628,3889.34,3889.34
9454,Compound/Complex,Conversation,61,1269,1269,7808.98,-7808.98
9455,Simple,Narrative,12,224,-224,1433.48,1433.48
9456,Complex,Narrative,17,359,359,2231.66,2231.66
9457,Compound/Complex,Narrative,55,1065,1065,6286.18,-6286.18
9458,Complex,Conversation,27,510,-510,3153.73,3153.73
9459,Complex,Conversation,23,472,-472,3044.69,-3044.69
9460,Simple,Conversation,11,215,215,1318.33,-1318.33
9461,Simple,Narrative,5,173,173,1195.21,1195.21
9462,Compound/Complex,Narrative,44,830,-830,4780.09,-4780.09
9463,Compound/Complex,Conversation,31,534,-534,3291.59,3291.59
9464,Compound/Complex,Narrative,31,475,475,2721.24,2721.24
9465,Compound/Complex,Narrative,25,450,-450,2609.74,2609.74
9466,Compound/Complex,Narrative,32,640,-640,3993.19,3993.19
9467,Compound/Complex,Narrative,21,414,-414,2662.22,-2662.22
9468,Simple,Narrative,12,246,-246,1498.00,1498.00
9469,Compound/Complex,Narrative,29,491,491,2989.80,2989.80
9470,Compound/Complex,Narrative,35,699,699,4344.70,-4344.70
9471,Simple,Conversation,19,399,399,2541.16,2541.16
9472,Complex,Narrative,8,176,-176,1178.65,-1178.65
9473,Compound/Complex,Narrative,17,329,329,2221.81,2221.81
9474,Complex,Narrative,15,311,311,1992.56,-1992.56
9475,Complex,Narrative,14,311,311,2028.80,-2028.80
9476,Compound/Complex,Conversation,61,1118,-1118,7046.56,-7046.56
9477,Compound/Complex,Narrative,28,677,677,4362.83,-4362.83
9478,Compound/Complex,Narrative,21,386,-386,2430.17,-2430.17
9479,Simple,Conversation,34,742,-742,4502.58,-4502.58
9480,Compound/Complex,Narrative,25,484,-484,3072.73,-3072.73
